category_key,category_name_pt,category_name_en,category_desc_pt,category_desc_en,item_name_pt,item_name_en,tag
sopas,Sopas,Soups,,,Caldo Verde,Caldo Verde,
sopas,Sopas,Soups,,,Canja de Galinha,Canja de Galinha,
sopas,Sopas,Soups,,,Canja de Perdiz,Canja de Perdiz,
sopas,Sopas,Soups,,,Creme de Abóbora,Creme de Abóbora,
sopas,Sopas,Soups,,,Creme de Alho Francês,Creme de Alho Francês,
sopas,Sopas,Soups,,,Creme de Beterraba,Creme de Beterraba,
sopas,Sopas,Soups,,,Creme de Coentros,Creme de Coentros,
sopas,Sopas,Soups,,,Creme de Cogumelos,Creme de Cogumelos,
sopas,Sopas,Soups,,,Creme de Cogumelos Selvagens,Creme de Cogumelos Selvagens,
sopas,Sopas,Soups,,,Creme de Courgette e Queijo,Creme de Courgette e Queijo,
sopas,Sopas,Soups,,,Creme de Couve-Flor e Pinhões,Creme de Couve-Flor e Pinhões,
sopas,Sopas,Soups,,,Creme de Ervilhas,Creme de Ervilhas,
sopas,Sopas,Soups,,,Creme de Espargos,Creme de Espargos,
sopas,Sopas,Soups,,,Creme de Legumes sem Batata,Creme de Legumes sem Batata,
sopas,Sopas,Soups,,,Creme de Nabo com Cebola Crispy,Creme de Nabo com Cebola Crispy,
sopas,Sopas,Soups,,,Creme de Peixe (com Camarão e Tamboril),Creme de Peixe (com Camarão e Tamboril),
sopas,Sopas,Soups,,,Gaspacho da Horta,Gaspacho da Horta,
sopas,Sopas,Soups,,,Sopa Camponesa,Sopa Camponesa,
sopas,Sopas,Soups,,,Sopa de Feijão com Nabiças,Sopa de Feijão com Nabiças,
sopas,Sopas,Soups,,,Sopa de Feijão Verde,Sopa de Feijão Verde,
sopas,Sopas,Soups,,,Sopa de Grão com Agrião,Sopa de Grão com Agrião,
sopas,Sopas,Soups,,,Sopa de Grão com Espinafres,Sopa de Grão com Espinafres,
sopas,Sopas,Soups,,,Sopa de Tomate à Antiga,Sopa de Tomate à Antiga,
sopas,Sopas,Soups,,,Sopa Juliana,Sopa Juliana,
sopas,Sopas,Soups,,,Vichyssoise,Vichyssoise,
carne,Carne,Meat,,,Almôndegas de Vaca,Almôndegas de Vaca,
carne,Carne,Meat,,,Arroz Árabe com Frango,Arroz Árabe com Frango,
carne,Carne,Meat,,,Arroz com Frango e Açafrão,Arroz com Frango e Açafrão,
carne,Carne,Meat,,,Arroz de Pato,Arroz de Pato,
carne,Carne,Meat,,,Arroz de Polvo,Arroz de Polvo,
carne,Carne,Meat,,,Baby Back Ribs com Molho Barbecue,Baby Back Ribs com Molho Barbecue,
carne,Carne,Meat,,,Bifes de Cebolada,Bifes de Cebolada,
carne,Carne,Meat,,,Bifes de Frango com Azeitonas,Bifes de Frango com Azeitonas,
carne,Carne,Meat,,,Bifes de Peru com Natas e Cebola,Bifes de Peru com Natas e Cebola,
carne,Carne,Meat,,,Borrego com Osso,Borrego com Osso,
carne,Carne,Meat,,,Cabrito com Osso,Cabrito com Osso,
