category_key,category_name_pt,category_name_en,category_desc_pt,category_desc_en,item_name_pt,item_name_en,tag
sopas,Sopas,Soups,"Reconfortantes e feitas de raiz, todos os dias.","Comforting and made from scratch, every day.",Caldo Verde,Caldo Verde,
sopas,Sopas,Soups,"Reconfortantes e feitas de raiz, todos os dias.","Comforting and made from scratch, every day.",Canja de Galinha,Canja de Galinha,
sopas,Sopas,Soups,"Reconfortantes e feitas de raiz, todos os dias.","Comforting and made from scratch, every day.",Canja de Perdiz,Canja de Perdiz,
sopas,Sopas,Soups,"Reconfortantes e feitas de raiz, todos os dias.","Comforting and made from scratch, every day.",Creme de Abóbora,Creme de Abóbora,
sopas,Sopas,Soups,"Reconfortantes e feitas de raiz, todos os dias.","Comforting and made from scratch, every day.",Creme de Alho Francês,Creme de Alho Francês,
sopas,Sopas,Soups,"Reconfortantes e feitas de raiz, todos os dias.","Comforting and made from scratch, every day.",Creme de Peixe (com Camarão e Tamboril),Creme de Peixe (com Camarão e Tamboril),
sopas,Sopas,Soups,"Reconfortantes e feitas de raiz, todos os dias.","Comforting and made from scratch, every day.",Creme de Beterraba,Creme de Beterraba,
sopas,Sopas,Soups,"Reconfortantes e feitas de raiz, todos os dias.","Comforting and made from scratch, every day.",Creme de Coentros,Creme de Coentros,
sopas,Sopas,Soups,"Reconfortantes e feitas de raiz, todos os dias.","Comforting and made from scratch, every day.",Creme de Cogumelos,Creme de Cogumelos,
sopas,Sopas,Soups,"Reconfortantes e feitas de raiz, todos os dias.","Comforting and made from scratch, every day.",Creme de Cogumelos Selvagens,Creme de Cogumelos Selvagens,
sopas,Sopas,Soups,"Reconfortantes e feitas de raiz, todos os dias.","Comforting and made from scratch, every day.",Creme de Courgette e Queijo,Creme de Courgette e Queijo,
sopas,Sopas,Soups,"Reconfortantes e feitas de raiz, todos os dias.","Comforting and made from scratch, every day.",Creme de Couve-Flor e Pinhões,Creme de Couve-Flor e Pinhões,
sopas,Sopas,Soups,"Reconfortantes e feitas de raiz, todos os dias.","Comforting and made from scratch, every day.",Creme de Ervilhas,Creme de Ervilhas,
sopas,Sopas,Soups,"Reconfortantes e feitas de raiz, todos os dias.","Comforting and made from scratch, every day.",Creme de Espargos,Creme de Espargos,
sopas,Sopas,Soups,"Reconfortantes e feitas de raiz, todos os dias.","Comforting and made from scratch, every day.",Creme de Legumes sem Batata,Creme de Legumes sem Batata,
sopas,Sopas,Soups,"Reconfortantes e feitas de raiz, todos os dias.","Comforting and made from scratch, every day.",Creme de Nabo com Cebola Crispy,Creme de Nabo com Cebola Crispy,
sopas,Sopas,Soups,"Reconfortantes e feitas de raiz, todos os dias.","Comforting and made from scratch, every day.",Gaspacho da Horta,Gaspacho da Horta,
sopas,Sopas,Soups,"Reconfortantes e feitas de raiz, todos os dias.","Comforting and made from scratch, every day.",Sopa Camponesa,Sopa Camponesa,
sopas,Sopas,Soups,"Reconfortantes e feitas de raiz, todos os dias.","Comforting and made from scratch, every day.",Sopa de Feijão com Nabiças,Sopa de Feijão com Nabiças,
sopas,Sopas,Soups,"Reconfortantes e feitas de raiz, todos os dias.","Comforting and made from scratch, every day.",Sopa de Feijão Verde,Sopa de Feijão Verde,
sopas,Sopas,Soups,"Reconfortantes e feitas de raiz, todos os dias.","Comforting and made from scratch, every day.",Sopa de Grão com Agrião,Sopa de Grão com Agrião,
sopas,Sopas,Soups,"Reconfortantes e feitas de raiz, todos os dias.","Comforting and made from scratch, every day.",Sopa de Grão com Espinafres,Sopa de Grão com Espinafres,
sopas,Sopas,Soups,"Reconfortantes e feitas de raiz, todos os dias.","Comforting and made from scratch, every day.",Sopa de Tomate à Antiga,Sopa de Tomate à Antiga,
sopas,Sopas,Soups,"Reconfortantes e feitas de raiz, todos os dias.","Comforting and made from scratch, every day.",Sopa Juliana,Sopa Juliana,
sopas,Sopas,Soups,"Reconfortantes e feitas de raiz, todos os dias.","Comforting and made from scratch, every day.",Vichyssoise,Vichyssoise,
arroz,Arroz,Rice,Receitas de arroz tradicionais e criativas.,Traditional and creative rice dishes.,Arroz Árabe,Arroz Árabe,
arroz,Arroz,Rice,Receitas de arroz tradicionais e criativas.,Traditional and creative rice dishes.,Arroz Árabe com Frango,Arroz Árabe com Frango,
arroz,Arroz,Rice,Receitas de arroz tradicionais e criativas.,Traditional and creative rice dishes.,Arroz Branco,Arroz Branco,
arroz,Arroz,Rice,Receitas de arroz tradicionais e criativas.,Traditional and creative rice dishes.,Arroz de Cogumelos,Arroz de Cogumelos,
arroz,Arroz,Rice,Receitas de arroz tradicionais e criativas.,Traditional and creative rice dishes.,Arroz com Frango e Açafrão,Arroz com Frango e Açafrão,
arroz,Arroz,Rice,Receitas de arroz tradicionais e criativas.,Traditional and creative rice dishes.,Arroz de Cenoura e Coentros,Arroz de Cenoura e Coentros,
arroz,Arroz,Rice,Receitas de arroz tradicionais e criativas.,Traditional and creative rice dishes.,Arroz de Grelos,Arroz de Grelos,
arroz,Arroz,Rice,Receitas de arroz tradicionais e criativas.,Traditional and creative rice dishes.,Arroz de Pato,Arroz de Pato,
arroz,Arroz,Rice,Receitas de arroz tradicionais e criativas.,Traditional and creative rice dishes.,Arroz de Polvo,Arroz de Polvo,
arroz,Arroz,Rice,Receitas de arroz tradicionais e criativas.,Traditional and creative rice dishes.,Arroz de Tamboril com Camarão,Arroz de Tamboril com Camarão,
arroz,Arroz,Rice,Receitas de arroz tradicionais e criativas.,Traditional and creative rice dishes.,Arroz de Tomate,Arroz de Tomate,
